iter	Passed	Remaining
0	30	29975
1	65	32606
2	96	32230
3	126	31600
4	155	30887
5	187	31052
6	217	30915
7	247	30639
8	275	30358
9	300	29742
10	326	29375
11	352	29028
12	379	28835
13	406	28600
14	433	28449
15	460	28290
16	488	28228
17	516	28177
18	544	28114
19	572	28064
20	600	27986
21	628	27941
22	658	27987
23	684	27842
24	713	27814
25	742	27814
26	768	27697
27	801	27817
28	833	27909
29	867	28048
30	897	28061
31	930	28133
32	961	28161
33	994	28255
34	1024	28247
35	1064	28514
36	1105	28761
37	1137	28808
38	1170	28853
39	1203	28886
40	1235	28910
41	1265	28869
42	1292	28759
43	1321	28721
44	1356	28785
45	1384	28717
46	1415	28706
47	1442	28603
48	1473	28593
49	1499	28499
50	1531	28502
51	1562	28476
52	1591	28443
53	1620	28384
54	1651	28371
55	1683	28376
56	1719	28444
57	1750	28433
58	1784	28453
59	1819	28503
60	1854	28546
61	1888	28568
62	1936	28802
63	1974	28875
64	2006	28868
65	2039	28859
66	2067	28783
67	2095	28724
68	2125	28673
69	2154	28624
70	2183	28566
71	2213	28530
72	2245	28518
73	2274	28461
74	2300	28376
75	2329	28326
76	2364	28349
77	2394	28298
78	2424	28264
79	2454	28224
80	2487	28222
81	2519	28204
82	2548	28152
83	2573	28062
84	2603	28024
85	2631	27970
86	2658	27900
87	2684	27822
88	2708	27719
89	2737	27678
90	2760	27574
91	2786	27501
92	2814	27445
93	2839	27366
94	2867	27314
95	2891	27225
96	2917	27156
97	2945	27115
98	2972	27049
99	2999	26996
100	3026	26942
101	3054	26890
102	3078	26809
103	3104	26747
104	3131	26692
105	3155	26611
106	3182	26561
107	3209	26510
108	3234	26443
109	3258	26366
110	3283	26299
111	3309	26235
112	3338	26206
113	3367	26175
114	3392	26108
115	3417	26042
116	3442	25981
117	3473	25959
118	3504	25944
119	3534	25917
120	3570	25937
121	3602	25928
122	3636	25931
123	3670	25929
124	3701	25913
125	3730	25877
126	3757	25826
127	3779	25749
128	3804	25684
129	3831	25643
130	3859	25604
131	3874	25480
132	3900	25424
133	3929	25395
134	3957	25355
135	3987	25333
136	4019	25319
137	4051	25307
138	4082	25287
139	4110	25252
140	4135	25192
141	4161	25143
142	4185	25085
143	4210	25026
144	4237	24984
145	4262	24931
146	4285	24867
147	4311	24820
148	4335	24759
149	4360	24711
150	4385	24655
151	4416	24637
152	4441	24587
153	4468	24545
154	4491	24486
155	4518	24444
156	4543	24396
157	4569	24352
158	4598	24320
159	4628	24301
160	4655	24260
161	4681	24214
162	4707	24172
163	4735	24138
164	4759	24087
165	4787	24053
166	4818	24037
167	4848	24009
168	4875	23975
169	4910	23972
170	4940	23953
171	4972	23936
172	4998	23892
173	5024	23852
174	5053	23823
175	5079	23780
176	5111	23768
177	5140	23740
178	5175	23736
179	5206	23719
180	5233	23679
181	5257	23629
182	5286	23599
183	5309	23545
184	5334	23499
185	5360	23457
186	5389	23429
187	5418	23403
188	5445	23367
189	5473	23333
190	5509	23335
191	5541	23321
192	5571	23296
193	5600	23269
194	5630	23245
195	5663	23232
196	5692	23202
197	5720	23170
198	5747	23133
199	5773	23094
200	5799	23053
201	5825	23014
202	5853	22981
203	5879	22942
204	5906	22907
205	5933	22869
206	5961	22839
207	5988	22803
208	6017	22774
209	6042	22731
210	6069	22697
211	6095	22658
212	6123	22624
213	6146	22574
214	6176	22552
215	6205	22523
216	6252	22559
217	6281	22533
218	6313	22516
219	6347	22503
220	6390	22524
221	6415	22484
222	6441	22443
223	6469	22412
224	6498	22383
225	6525	22348
226	6552	22312
227	6577	22271
228	6608	22249
229	6640	22231
230	6669	22203
231	6699	22177
232	6730	22156
233	6764	22144
234	6793	22115
235	6833	22120
236	6881	22152
237	6930	22188
238	6980	22225
239	7027	22252
240	7094	22341
241	7153	22407
242	7212	22468
243	7257	22485
244	7310	22527
245	7359	22558
246	7419	22620
247	7475	22666
248	7532	22717
249	7592	22777
250	7636	22789
251	7690	22826
252	7749	22880
253	7803	22919
254	7866	22982
255	7931	23051
256	7986	23089
257	8040	23125
258	8094	23157
259	8145	23183
260	8192	23195
261	8247	23232
262	8299	23258
263	8349	23276
264	8410	23328
265	8453	23326
266	8497	23327
267	8542	23333
268	8583	23326
269	8640	23362
270	8685	23364
271	8742	23399
272	8800	23435
273	8858	23471
274	8918	23512
275	8966	23521
276	9011	23521
277	9067	23550
278	9127	23588
279	9191	23635
280	9247	23662
